Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,France,0,0,0,0,0,0
2020-01-24,France,2,0,0,2,0,0
2020-01-25,France,1,0,0,3,0,0
2020-01-26,France,0,0,0,3,0,0
2020-01-27,France,0,0,0,3,0,0
2020-01-28,France,1,0,0,4,0,0
2020-01-29,France,1,0,0,5,0,0
2020-01-30,France,0,0,0,5,0,0
2020-01-31,France,0,0,0,5,0,0
2020-02-01,France,1,0,0,6,0,0
2020-02-02,France,0,0,0,6,0,0
2020-02-03,France,0,0,0,6,0,0
2020-02-04,France,0,0,0,6,0,0
2020-02-05,France,0,0,0,6,0,0
2020-02-06,France,0,0,0,6,0,0
2020-02-07,France,0,0,0,6,0,0
2020-02-08,France,5,0,0,11,0,0
2020-02-09,France,0,0,0,11,0,0
2020-02-10,France,0,0,0,11,0,0
2020-02-11,France,0,0,0,11,0,0
2020-02-12,France,0,2,0,11,2,0
2020-02-13,France,0,0,0,11,2,0
2020-02-14,France,0,0,0,11,2,0
2020-02-15,France,1,2,1,12,4,1
2020-02-16,France,0,0,0,12,4,1
2020-02-17,France,0,0,0,12,4,1
2020-02-18,France,0,0,0,12,4,1
2020-02-19,France,0,0,0,12,4,1
2020-02-20,France,0,0,0,12,4,1
2020-02-21,France,0,0,0,12,4,1
2020-02-22,France,0,0,0,12,4,1
2020-02-23,France,0,0,0,12,4,1
2020-02-24,France,0,0,0,12,4,1
2020-02-25,France,2,7,0,14,11,1
2020-02-26,France,4,0,1,18,11,2
2020-02-27,France,20,0,0,38,11,2
2020-02-28,France,19,0,0,57,11,2
2020-02-29,France,43,1,0,100,12,2
2020-03-01,France,30,0,0,130,12,2
2020-03-02,France,61,0,1,191,12,3
2020-03-03,France,13,0,1,204,12,4
2020-03-04,France,84,0,0,288,12,4
2020-03-05,France,92,0,2,380,12,6
2020-03-06,France,276,0,3,656,12,9
2020-03-07,France,303,0,2,959,12,11
2020-03-08,France,177,0,8,1136,12,19
2020-03-09,France,83,0,0,1219,12,19
2020-03-10,France,575,0,14,1794,12,33
2020-03-11,France,499,0,15,2293,12,48
2020-03-12,France,0,0,0,2293,12,48
