Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Peru,0,0,0,0,0,0
2020-01-24,Peru,0,0,0,0,0,0
2020-01-25,Peru,0,0,0,0,0,0
2020-01-26,Peru,0,0,0,0,0,0
2020-01-27,Peru,0,0,0,0,0,0
2020-01-28,Peru,0,0,0,0,0,0
2020-01-29,Peru,0,0,0,0,0,0
2020-01-30,Peru,0,0,0,0,0,0
2020-01-31,Peru,0,0,0,0,0,0
2020-02-01,Peru,0,0,0,0,0,0
2020-02-02,Peru,0,0,0,0,0,0
2020-02-03,Peru,0,0,0,0,0,0
2020-02-04,Peru,0,0,0,0,0,0
2020-02-05,Peru,0,0,0,0,0,0
2020-02-06,Peru,0,0,0,0,0,0
2020-02-07,Peru,0,0,0,0,0,0
2020-02-08,Peru,0,0,0,0,0,0
2020-02-09,Peru,0,0,0,0,0,0
2020-02-10,Peru,0,0,0,0,0,0
2020-02-11,Peru,0,0,0,0,0,0
2020-02-12,Peru,0,0,0,0,0,0
2020-02-13,Peru,0,0,0,0,0,0
2020-02-14,Peru,0,0,0,0,0,0
2020-02-15,Peru,0,0,0,0,0,0
2020-02-16,Peru,0,0,0,0,0,0
2020-02-17,Peru,0,0,0,0,0,0
2020-02-18,Peru,0,0,0,0,0,0
2020-02-19,Peru,0,0,0,0,0,0
2020-02-20,Peru,0,0,0,0,0,0
2020-02-21,Peru,0,0,0,0,0,0
2020-02-22,Peru,0,0,0,0,0,0
2020-02-23,Peru,0,0,0,0,0,0
2020-02-24,Peru,0,0,0,0,0,0
2020-02-25,Peru,0,0,0,0,0,0
2020-02-26,Peru,0,0,0,0,0,0
2020-02-27,Peru,0,0,0,0,0,0
2020-02-28,Peru,0,0,0,0,0,0
2020-02-29,Peru,0,0,0,0,0,0
2020-03-01,Peru,0,0,0,0,0,0
2020-03-02,Peru,0,0,0,0,0,0
2020-03-03,Peru,0,0,0,0,0,0
2020-03-04,Peru,0,0,0,0,0,0
2020-03-05,Peru,0,0,0,0,0,0
2020-03-06,Peru,1,0,0,1,0,0
2020-03-07,Peru,0,0,0,1,0,0
2020-03-08,Peru,5,0,0,6,0,0
2020-03-09,Peru,1,0,0,7,0,0
2020-03-10,Peru,4,0,0,11,0,0
2020-03-11,Peru,0,0,0,11,0,0
2020-03-12,Peru,4,0,0,15,0,0
2020-03-13,Peru,13,0,0,28,0,0
2020-03-14,Peru,10,0,0,38,0,0
2020-03-15,Peru,5,0,0,43,0,0
2020-03-16,Peru,43,0,0,86,0,0
2020-03-17,Peru,31,1,0,117,1,0
2020-03-18,Peru,28,0,0,145,1,0
2020-03-19,Peru,89,0,0,234,1,0
2020-03-20,Peru,0,0,3,234,1,3
2020-03-21,Peru,84,0,2,318,1,5
2020-03-22,Peru,45,0,0,363,1,5
2020-03-23,Peru,32,0,0,395,1,5
2020-03-24,Peru,21,0,2,416,1,7
2020-03-25,Peru,64,0,2,480,1,9
2020-03-26,Peru,100,13,0,580,14,9
2020-03-27,Peru,55,2,2,635,16,11
2020-03-28,Peru,36,0,5,671,16,16
2020-03-29,Peru,181,0,2,852,16,18
2020-03-30,Peru,98,37,6,950,53,24
2020-03-31,Peru,115,341,6,1065,394,30
2020-04-01,Peru,258,0,8,1323,394,38
2020-04-02,Peru,91,143,17,1414,537,55
2020-04-03,Peru,181,0,6,1595,537,61
2020-04-04,Peru,151,377,12,1746,914,73
2020-04-05,Peru,535,75,10,2281,989,83
2020-04-06,Peru,280,8,9,2561,997,92
2020-04-07,Peru,393,304,15,2954,1301,107
2020-04-08,Peru,1388,32,14,4342,1333,121
2020-04-09,Peru,914,105,17,5256,1438,138
2020-04-10,Peru,641,131,31,5897,1569,169
2020-04-11,Peru,951,170,12,6848,1739,181
2020-04-12,Peru,671,59,12,7519,1798,193
2020-04-13,Peru,2265,844,23,9784,2642,216
2020-04-14,Peru,519,227,14,10303,2869,230
2020-04-15,Peru,1172,239,24,11475,3108,254
2020-04-16,Peru,1016,3012,20,12491,6120,274
2020-04-17,Peru,998,421,26,13489,6541,300
2020-04-18,Peru,931,143,48,14420,6684,348
2020-04-19,Peru,1208,127,52,15628,6811,400
2020-04-20,Peru,697,157,45,16325,6968,445
2020-04-21,Peru,1512,14,39,17837,6982,484
2020-04-22,Peru,1413,45,46,19250,7027,530
2020-04-23,Peru,1664,395,42,20914,7422,572
2020-04-24,Peru,734,74,62,21648,7496,634
2020-04-25,Peru,3683,301,66,25331,7797,700
2020-04-26,Peru,2186,291,28,27517,8088,728
2020-04-27,Peru,1182,337,54,28699,8425,782
2020-04-28,Peru,2491,754,72,31190,9179,854
2020-04-29,Peru,2741,858,89,33931,10037,943
2020-04-30,Peru,3045,368,108,36976,10405,1051
2020-05-01,Peru,3483,724,73,40459,11129,1124
2020-05-02,Peru,2075,1305,76,42534,12434,1200
2020-05-03,Peru,3394,1116,86,45928,13550,1286
2020-05-04,Peru,1444,877,58,47372,14427,1344
2020-05-05,Peru,3817,986,100,51189,15413,1444
2020-05-06,Peru,3628,2114,89,54817,17527,1533
2020-05-07,Peru,3709,861,94,58526,18388,1627
2020-05-08,Peru,3321,624,87,61847,19012,1714
2020-05-09,Peru,3168,1234,100,65015,20246,1814
2020-05-10,Peru,2292,1103,75,67307,21349,1889
2020-05-11,Peru,1515,1057,72,68822,22406,1961
2020-05-12,Peru,3237,918,96,72059,23324,2057
2020-05-13,Peru,4247,1000,112,76306,24324,2169
2020-05-14,Peru,4298,827,98,80604,25151,2267
2020-05-15,Peru,3891,1996,125,84495,27147,2392
2020-05-16,Peru,4046,1125,131,88541,28272,2523
2020-05-17,Peru,3732,349,125,92273,28621,2648
2020-05-18,Peru,2660,1685,141,94933,30306,2789
2020-05-19,Peru,4550,6218,125,99483,36524,2914
2020-05-20,Peru,4537,5444,110,104020,41968,3024
2020-05-21,Peru,4749,1619,124,108769,43587,3148
2020-05-22,Peru,2929,1261,96,111698,44848,3244
2020-05-23,Peru,4056,3067,129,115754,47915,3373
2020-05-24,Peru,4205,1880,83,119959,49795,3456
2020-05-25,Peru,4020,1154,173,123979,50949,3629
2020-05-26,Peru,5772,1957,159,129751,52906,3788
2020-05-27,Peru,6154,3263,195,135905,56169,3983
2020-05-28,Peru,5874,3273,116,141779,59442,4099
2020-05-29,Peru,6506,3349,131,148285,62791,4230
2020-05-30,Peru,7386,3656,141,155671,66447,4371
2020-05-31,Peru,8805,761,135,164476,67208,4506
2020-06-01,Peru,5563,1299,128,170039,68507,4634
2020-06-02,Peru,8126,750,133,178165,69257,4767
2020-06-03,Peru,749,3062,127,178914,72319,4894
2020-06-04,Peru,4284,3909,137,183198,76228,5031
2020-06-05,Peru,4202,2986,131,187400,79214,5162
2020-06-06,Peru,4358,3517,139,191758,82731,5301
2020-06-07,Peru,4757,3488,164,196515,86219,5465
2020-06-08,Peru,3181,3337,106,199696,89556,5571
2020-06-09,Peru,4040,3373,167,203736,92929,5738
2020-06-10,Peru,5087,5102,165,208823,98031,5903
2020-06-11,Peru,5965,4398,185,214788,102429,6088
2020-06-12,Peru,0,4704,0,214788,107133,6088
2020-06-13,Peru,5961,4591,220,220749,111724,6308
2020-06-14,Peru,8987,3855,380,229736,115579,6688
2020-06-15,Peru,3256,3830,172,232992,119409,6860
2020-06-16,Peru,4164,5796,196,237156,125205,7056
2020-06-17,Peru,3752,3417,201,240908,128622,7257
2020-06-18,Peru,3480,2568,204,244388,131190,7461
2020-06-19,Peru,3537,4330,199,247925,135520,7660
2020-06-20,Peru,3413,7497,201,251338,143017,7861
2020-06-21,Peru,3598,-1050,184,254936,141967,8045
2020-06-22,Peru,2511,3353,178,257447,145320,8223
2020-06-23,Peru,3363,3117,181,260810,148437,8404
2020-06-24,Peru,3879,3152,182,264689,151589,8586
2020-06-25,Peru,3913,-364,175,268602,151225,8761
2020-06-26,Peru,3762,8581,178,272364,159806,8939
2020-06-27,Peru,3625,4218,196,275989,164024,9135
2020-06-28,Peru,3430,3974,182,279419,167998,9317
2020-06-29,Peru,2946,3161,187,282365,171159,9504
