Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Bolivia,0,0,0,0,0,0
2020-01-24,Bolivia,0,0,0,0,0,0
2020-01-25,Bolivia,0,0,0,0,0,0
2020-01-26,Bolivia,0,0,0,0,0,0
2020-01-27,Bolivia,0,0,0,0,0,0
2020-01-28,Bolivia,0,0,0,0,0,0
2020-01-29,Bolivia,0,0,0,0,0,0
2020-01-30,Bolivia,0,0,0,0,0,0
2020-01-31,Bolivia,0,0,0,0,0,0
2020-02-01,Bolivia,0,0,0,0,0,0
2020-02-02,Bolivia,0,0,0,0,0,0
2020-02-03,Bolivia,0,0,0,0,0,0
2020-02-04,Bolivia,0,0,0,0,0,0
2020-02-05,Bolivia,0,0,0,0,0,0
2020-02-06,Bolivia,0,0,0,0,0,0
2020-02-07,Bolivia,0,0,0,0,0,0
2020-02-08,Bolivia,0,0,0,0,0,0
2020-02-09,Bolivia,0,0,0,0,0,0
2020-02-10,Bolivia,0,0,0,0,0,0
2020-02-11,Bolivia,0,0,0,0,0,0
2020-02-12,Bolivia,0,0,0,0,0,0
2020-02-13,Bolivia,0,0,0,0,0,0
2020-02-14,Bolivia,0,0,0,0,0,0
2020-02-15,Bolivia,0,0,0,0,0,0
2020-02-16,Bolivia,0,0,0,0,0,0
2020-02-17,Bolivia,0,0,0,0,0,0
2020-02-18,Bolivia,0,0,0,0,0,0
2020-02-19,Bolivia,0,0,0,0,0,0
2020-02-20,Bolivia,0,0,0,0,0,0
2020-02-21,Bolivia,0,0,0,0,0,0
2020-02-22,Bolivia,0,0,0,0,0,0
2020-02-23,Bolivia,0,0,0,0,0,0
2020-02-24,Bolivia,0,0,0,0,0,0
2020-02-25,Bolivia,0,0,0,0,0,0
2020-02-26,Bolivia,0,0,0,0,0,0
2020-02-27,Bolivia,0,0,0,0,0,0
2020-02-28,Bolivia,0,0,0,0,0,0
2020-02-29,Bolivia,0,0,0,0,0,0
2020-03-01,Bolivia,0,0,0,0,0,0
2020-03-02,Bolivia,0,0,0,0,0,0
2020-03-03,Bolivia,0,0,0,0,0,0
2020-03-04,Bolivia,0,0,0,0,0,0
2020-03-05,Bolivia,0,0,0,0,0,0
2020-03-06,Bolivia,0,0,0,0,0,0
2020-03-07,Bolivia,0,0,0,0,0,0
2020-03-08,Bolivia,0,0,0,0,0,0
2020-03-09,Bolivia,0,0,0,0,0,0
2020-03-10,Bolivia,0,0,0,0,0,0
2020-03-11,Bolivia,2,0,0,2,0,0
2020-03-12,Bolivia,0,0,0,2,0,0
2020-03-13,Bolivia,1,0,0,3,0,0
2020-03-14,Bolivia,7,0,0,10,0,0
2020-03-15,Bolivia,0,0,0,10,0,0
2020-03-16,Bolivia,1,0,0,11,0,0
2020-03-17,Bolivia,0,0,0,11,0,0
2020-03-18,Bolivia,1,0,0,12,0,0
2020-03-19,Bolivia,0,0,0,12,0,0
2020-03-20,Bolivia,3,0,0,15,0,0
2020-03-21,Bolivia,4,0,0,19,0,0
2020-03-22,Bolivia,5,0,0,24,0,0
2020-03-23,Bolivia,3,0,0,27,0,0
2020-03-24,Bolivia,2,0,0,29,0,0
2020-03-25,Bolivia,3,0,0,32,0,0
2020-03-26,Bolivia,11,0,0,43,0,0
2020-03-27,Bolivia,18,0,0,61,0,0
2020-03-28,Bolivia,13,0,0,74,0,0
2020-03-29,Bolivia,7,0,1,81,0,1
2020-03-30,Bolivia,16,0,3,97,0,4
2020-03-31,Bolivia,10,0,2,107,0,6
2020-04-01,Bolivia,8,1,1,115,1,7
2020-04-02,Bolivia,8,0,1,123,1,8
2020-04-03,Bolivia,9,0,1,132,1,9
2020-04-04,Bolivia,7,0,1,139,1,10
2020-04-05,Bolivia,18,1,0,157,2,10
2020-04-06,Bolivia,26,0,1,183,2,11
2020-04-07,Bolivia,11,0,3,194,2,14
2020-04-08,Bolivia,16,0,1,210,2,15
2020-04-09,Bolivia,54,0,3,264,2,18
2020-04-10,Bolivia,4,0,1,268,2,19
2020-04-11,Bolivia,7,0,1,275,2,20
2020-04-12,Bolivia,25,0,4,300,2,24
2020-04-13,Bolivia,30,0,3,330,2,27
2020-04-14,Bolivia,24,4,1,354,6,28
2020-04-15,Bolivia,43,1,0,397,7,28
2020-04-16,Bolivia,44,7,1,441,14,29
2020-04-17,Bolivia,24,12,2,465,26,31
2020-04-18,Bolivia,28,5,0,493,31,31
2020-04-19,Bolivia,27,0,1,520,31,32
2020-04-20,Bolivia,44,0,1,564,31,33
2020-04-21,Bolivia,34,6,1,598,37,34
2020-04-22,Bolivia,11,7,3,609,44,37
2020-04-23,Bolivia,94,0,6,703,44,43
2020-04-24,Bolivia,104,10,1,807,54,44
2020-04-25,Bolivia,59,0,2,866,54,46
2020-04-26,Bolivia,84,26,4,950,80,50
2020-04-27,Bolivia,64,18,3,1014,98,53
2020-04-28,Bolivia,39,12,2,1053,110,55
2020-04-29,Bolivia,57,7,4,1110,117,59
2020-04-30,Bolivia,57,15,3,1167,132,62
2020-05-01,Bolivia,62,2,4,1229,134,66
2020-05-02,Bolivia,241,25,5,1470,159,71
2020-05-03,Bolivia,124,7,5,1594,166,76
2020-05-04,Bolivia,87,8,6,1681,174,82
2020-05-05,Bolivia,121,13,4,1802,187,86
2020-05-06,Bolivia,84,11,5,1886,198,91
2020-05-07,Bolivia,195,21,11,2081,219,102
2020-05-08,Bolivia,185,18,4,2266,237,106
2020-05-09,Bolivia,171,21,8,2437,258,114
2020-05-10,Bolivia,119,15,4,2556,273,118
2020-05-11,Bolivia,275,26,4,2831,299,122
2020-05-12,Bolivia,133,14,6,2964,313,128
2020-05-13,Bolivia,184,26,14,3148,339,142
2020-05-14,Bolivia,224,17,10,3372,356,152
2020-05-15,Bolivia,205,78,12,3577,434,164
2020-05-16,Bolivia,249,39,1,3826,473,165
2020-05-17,Bolivia,262,20,4,4088,493,169
2020-05-18,Bolivia,175,10,5,4263,503,174
2020-05-19,Bolivia,218,30,15,4481,533,189
2020-05-20,Bolivia,438,20,10,4919,553,199
2020-05-21,Bolivia,268,8,16,5187,561,215
2020-05-22,Bolivia,392,14,15,5579,575,230
2020-05-23,Bolivia,336,34,10,5915,609,240
2020-05-24,Bolivia,348,20,10,6263,629,250
2020-05-25,Bolivia,397,18,11,6660,647,261
2020-05-26,Bolivia,476,30,13,7136,677,274
2020-05-27,Bolivia,632,12,6,7768,689,280
2020-05-28,Bolivia,619,49,13,8387,738,293
2020-05-29,Bolivia,344,11,7,8731,749,300
2020-05-30,Bolivia,861,140,10,9592,889,310
2020-05-31,Bolivia,390,79,3,9982,968,313
2020-06-01,Bolivia,549,169,30,10531,1137,343
2020-06-02,Bolivia,460,161,33,10991,1298,376
2020-06-03,Bolivia,647,209,24,11638,1507,400
2020-06-04,Bolivia,607,151,15,12245,1658,415
2020-06-05,Bolivia,483,81,12,12728,1739,427
2020-06-06,Bolivia,630,163,27,13358,1902,454
2020-06-07,Bolivia,285,184,11,13643,2086,465
2020-06-08,Bolivia,306,73,10,13949,2159,475
2020-06-09,Bolivia,695,31,12,14644,2190,487
2020-06-10,Bolivia,637,71,25,15281,2261,512
2020-06-11,Bolivia,884,111,21,16165,2372,533
2020-06-12,Bolivia,764,59,26,16929,2431,559
2020-06-13,Bolivia,913,337,26,17842,2768,585
2020-06-14,Bolivia,617,345,26,18459,3113,611
2020-06-15,Bolivia,614,317,21,19073,3430,632
2020-06-16,Bolivia,810,322,27,19883,3752,659
2020-06-17,Bolivia,802,250,20,20685,4002,679
2020-06-18,Bolivia,814,0,18,21499,4002,697
2020-06-19,Bolivia,977,668,18,22476,4670,715
2020-06-20,Bolivia,1036,416,25,23512,5086,740
2020-06-21,Bolivia,876,368,33,24388,5454,773
2020-06-22,Bolivia,1105,403,47,25493,5857,820
2020-06-23,Bolivia,896,443,26,26389,6300,846
2020-06-24,Bolivia,1098,495,30,27487,6795,876
2020-06-25,Bolivia,1016,543,37,28503,7338,913
2020-06-26,Bolivia,920,398,21,29423,7736,934
2020-06-27,Bolivia,1253,422,36,30676,8158,970
2020-06-28,Bolivia,848,359,44,31524,8517,1014
2020-06-29,Bolivia,601,411,57,32125,8928,1071
2020-06-30,Bolivia,1094,412,52,33219,9340,1123
2020-07-01,Bolivia,1008,424,78,34227,9764,1201
2020-07-02,Bolivia,1301,594,70,35528,10358,1271
2020-07-03,Bolivia,1290,408,49,36818,10766,1320
2020-07-04,Bolivia,1253,506,58,38071,11272,1378
2020-07-05,Bolivia,1226,395,56,39297,11667,1434
2020-07-06,Bolivia,1212,262,42,40509,11929,1476
2020-07-07,Bolivia,1036,469,54,41545,12398,1530
2020-07-08,Bolivia,1439,485,47,42984,12883,1577
2020-07-09,Bolivia,1129,471,61,44113,13354,1638
2020-07-10,Bolivia,1452,564,64,45565,13918,1702
2020-07-11,Bolivia,1635,415,52,47200,14333,1754
2020-07-12,Bolivia,987,510,53,48187,14843,1807
2020-07-13,Bolivia,1063,451,59,49250,15294,1866
2020-07-14,Bolivia,1617,525,32,50867,15819,1898
2020-07-15,Bolivia,1351,538,44,52218,16357,1942
2020-07-16,Bolivia,1938,622,42,54156,16979,1984
2020-07-17,Bolivia,1946,903,65,56102,17882,2049
2020-07-18,Bolivia,2036,318,57,58138,18200,2106
2020-07-19,Bolivia,1444,353,45,59582,18553,2151
2020-07-20,Bolivia,1409,322,67,60991,18875,2218
2020-07-21,Bolivia,1366,415,55,62357,19290,2273
2020-07-22,Bolivia,1778,431,55,64135,19721,2328
2020-07-23,Bolivia,1117,309,79,65252,20030,2407
2020-07-24,Bolivia,1204,584,66,66456,20614,2473
2020-07-25,Bolivia,1825,337,62,68281,20951,2535
2020-07-26,Bolivia,1148,218,48,69429,21169,2583
2020-07-27,Bolivia,1752,309,64,71181,21478,2647
2020-07-28,Bolivia,1146,493,73,72327,21971,2720
2020-07-29,Bolivia,1207,535,88,73534,22506,2808
2020-07-30,Bolivia,1700,799,86,75234,23305,2894
2020-07-31,Bolivia,1555,277,83,76789,23582,2977
2020-08-01,Bolivia,2004,386,87,78793,23968,3064
2020-08-02,Bolivia,1360,188,89,80153,24156,3153
2020-08-03,Bolivia,1693,354,75,81846,24510,3228
2020-08-04,Bolivia,1515,880,92,83361,25390,3320
2020-08-05,Bolivia,1780,1047,65,85141,26437,3385
2020-08-06,Bolivia,1282,936,80,86423,27373,3465
2020-08-07,Bolivia,1468,766,59,87891,28139,3524
2020-08-08,Bolivia,1164,765,63,89055,28904,3587
2020-08-09,Bolivia,944,904,53,89999,29808,3640
2020-08-10,Bolivia,1636,1015,72,91635,30823,3712
2020-08-11,Bolivia,1693,930,49,93328,31753,3761
