Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Honduras,0,0,0,0,0,0
2020-01-24,Honduras,0,0,0,0,0,0
2020-01-25,Honduras,0,0,0,0,0,0
2020-01-26,Honduras,0,0,0,0,0,0
2020-01-27,Honduras,0,0,0,0,0,0
2020-01-28,Honduras,0,0,0,0,0,0
2020-01-29,Honduras,0,0,0,0,0,0
2020-01-30,Honduras,0,0,0,0,0,0
2020-01-31,Honduras,0,0,0,0,0,0
2020-02-01,Honduras,0,0,0,0,0,0
2020-02-02,Honduras,0,0,0,0,0,0
2020-02-03,Honduras,0,0,0,0,0,0
2020-02-04,Honduras,0,0,0,0,0,0
2020-02-05,Honduras,0,0,0,0,0,0
2020-02-06,Honduras,0,0,0,0,0,0
2020-02-07,Honduras,0,0,0,0,0,0
2020-02-08,Honduras,0,0,0,0,0,0
2020-02-09,Honduras,0,0,0,0,0,0
2020-02-10,Honduras,0,0,0,0,0,0
2020-02-11,Honduras,0,0,0,0,0,0
2020-02-12,Honduras,0,0,0,0,0,0
2020-02-13,Honduras,0,0,0,0,0,0
2020-02-14,Honduras,0,0,0,0,0,0
2020-02-15,Honduras,0,0,0,0,0,0
2020-02-16,Honduras,0,0,0,0,0,0
2020-02-17,Honduras,0,0,0,0,0,0
2020-02-18,Honduras,0,0,0,0,0,0
2020-02-19,Honduras,0,0,0,0,0,0
2020-02-20,Honduras,0,0,0,0,0,0
2020-02-21,Honduras,0,0,0,0,0,0
2020-02-22,Honduras,0,0,0,0,0,0
2020-02-23,Honduras,0,0,0,0,0,0
2020-02-24,Honduras,0,0,0,0,0,0
2020-02-25,Honduras,0,0,0,0,0,0
2020-02-26,Honduras,0,0,0,0,0,0
2020-02-27,Honduras,0,0,0,0,0,0
2020-02-28,Honduras,0,0,0,0,0,0
2020-02-29,Honduras,0,0,0,0,0,0
2020-03-01,Honduras,0,0,0,0,0,0
2020-03-02,Honduras,0,0,0,0,0,0
2020-03-03,Honduras,0,0,0,0,0,0
2020-03-04,Honduras,0,0,0,0,0,0
2020-03-05,Honduras,0,0,0,0,0,0
2020-03-06,Honduras,0,0,0,0,0,0
2020-03-07,Honduras,0,0,0,0,0,0
2020-03-08,Honduras,0,0,0,0,0,0
2020-03-09,Honduras,0,0,0,0,0,0
2020-03-10,Honduras,0,0,0,0,0,0
2020-03-11,Honduras,2,0,0,2,0,0
2020-03-12,Honduras,0,0,0,2,0,0
2020-03-13,Honduras,0,0,0,2,0,0
2020-03-14,Honduras,0,0,0,2,0,0
2020-03-15,Honduras,1,0,0,3,0,0
