Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Azerbaijan,0,0,0,0,0,0
2020-01-24,Azerbaijan,0,0,0,0,0,0
2020-01-25,Azerbaijan,0,0,0,0,0,0
2020-01-26,Azerbaijan,0,0,0,0,0,0
2020-01-27,Azerbaijan,0,0,0,0,0,0
2020-01-28,Azerbaijan,0,0,0,0,0,0
2020-01-29,Azerbaijan,0,0,0,0,0,0
2020-01-30,Azerbaijan,0,0,0,0,0,0
2020-01-31,Azerbaijan,0,0,0,0,0,0
2020-02-01,Azerbaijan,0,0,0,0,0,0
2020-02-02,Azerbaijan,0,0,0,0,0,0
2020-02-03,Azerbaijan,0,0,0,0,0,0
2020-02-04,Azerbaijan,0,0,0,0,0,0
2020-02-05,Azerbaijan,0,0,0,0,0,0
2020-02-06,Azerbaijan,0,0,0,0,0,0
2020-02-07,Azerbaijan,0,0,0,0,0,0
2020-02-08,Azerbaijan,0,0,0,0,0,0
2020-02-09,Azerbaijan,0,0,0,0,0,0
2020-02-10,Azerbaijan,0,0,0,0,0,0
2020-02-11,Azerbaijan,0,0,0,0,0,0
2020-02-12,Azerbaijan,0,0,0,0,0,0
2020-02-13,Azerbaijan,0,0,0,0,0,0
2020-02-14,Azerbaijan,0,0,0,0,0,0
2020-02-15,Azerbaijan,0,0,0,0,0,0
2020-02-16,Azerbaijan,0,0,0,0,0,0
2020-02-17,Azerbaijan,0,0,0,0,0,0
2020-02-18,Azerbaijan,0,0,0,0,0,0
2020-02-19,Azerbaijan,0,0,0,0,0,0
2020-02-20,Azerbaijan,0,0,0,0,0,0
2020-02-21,Azerbaijan,0,0,0,0,0,0
2020-02-22,Azerbaijan,0,0,0,0,0,0
2020-02-23,Azerbaijan,0,0,0,0,0,0
2020-02-24,Azerbaijan,0,0,0,0,0,0
2020-02-25,Azerbaijan,0,0,0,0,0,0
2020-02-26,Azerbaijan,0,0,0,0,0,0
2020-02-27,Azerbaijan,0,0,0,0,0,0
2020-02-28,Azerbaijan,0,0,0,0,0,0
2020-02-29,Azerbaijan,0,0,0,0,0,0
2020-03-01,Azerbaijan,3,0,0,3,0,0
2020-03-02,Azerbaijan,0,0,0,3,0,0
2020-03-03,Azerbaijan,0,0,0,3,0,0
2020-03-04,Azerbaijan,0,0,0,3,0,0
2020-03-05,Azerbaijan,3,0,0,6,0,0
2020-03-06,Azerbaijan,0,0,0,6,0,0
2020-03-07,Azerbaijan,3,0,0,9,0,0
2020-03-08,Azerbaijan,0,0,0,9,0,0
2020-03-09,Azerbaijan,0,0,0,9,0,0
2020-03-10,Azerbaijan,2,0,0,11,0,0
2020-03-11,Azerbaijan,0,3,0,11,3,0
2020-03-12,Azerbaijan,0,0,0,11,3,0
2020-03-13,Azerbaijan,4,0,1,15,3,1
2020-03-14,Azerbaijan,0,0,0,15,3,1
2020-03-15,Azerbaijan,8,3,0,23,6,1
2020-03-16,Azerbaijan,5,0,0,28,6,1
2020-03-17,Azerbaijan,0,0,0,28,6,1
2020-03-18,Azerbaijan,0,0,0,28,6,1
2020-03-19,Azerbaijan,16,0,0,44,6,1
2020-03-20,Azerbaijan,0,0,0,44,6,1
2020-03-21,Azerbaijan,9,5,0,53,11,1
2020-03-22,Azerbaijan,12,-1,0,65,10,1
2020-03-23,Azerbaijan,7,0,0,72,10,1
2020-03-24,Azerbaijan,15,0,0,87,10,1
2020-03-25,Azerbaijan,6,0,1,93,10,2
2020-03-26,Azerbaijan,29,5,1,122,15,3
2020-03-27,Azerbaijan,43,0,0,165,15,3
2020-03-28,Azerbaijan,17,0,1,182,15,4
2020-03-29,Azerbaijan,27,0,0,209,15,4
2020-03-30,Azerbaijan,64,11,0,273,26,4
2020-03-31,Azerbaijan,25,0,1,298,26,5
2020-04-01,Azerbaijan,61,0,0,359,26,5
2020-04-02,Azerbaijan,41,0,0,400,26,5
2020-04-03,Azerbaijan,43,6,0,443,32,5
2020-04-04,Azerbaijan,78,0,0,521,32,5
2020-04-05,Azerbaijan,63,0,2,584,32,7
2020-04-06,Azerbaijan,57,12,0,641,44,7
2020-04-07,Azerbaijan,76,0,1,717,44,8
2020-04-08,Azerbaijan,105,19,0,822,63,8
2020-04-09,Azerbaijan,104,38,1,926,101,9
